radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
72;0;0;A0.5;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A0.5;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A0.5;no;no;no;no;no;no;no;no;0;0;0
74;13;10;A0.6;no;no;no;no;no;no;no;no;0;0;0
74;15;20;A0.7;no;yes;no;no;no;no;no;no;0;0;0
73;15;10;A1.0;no;yes;no;no;no;no;no;no;0;0;0
73;12;0;A0.8;no;yes;no;no;no;no;no;no;0;0;0
74;0;0;A0.8;yes;no;no;no;no;no;no;no;0;0;0
74;12;20;A0.8;no;no;no;no;no;no;no;no;0;0;0
75;13;30;A0.8;no;yes;no;no;no;no;no;no;0;0;0
74;12;20;A1.5;no;yes;no;no;no;no;no;no;0;0;0
75;0;0;A1.0;no;yes;no;no;no;no;no;no;0;0;0
75;0;0;A1.0;no;no;no;no;no;no;no;no;0;0;0
75;0;0;A0.9;no;no;no;no;no;no;no;no;0;0;0
76;14;30;A1.4;no;no;no;no;no;no;no;no;0;0;0
75;16;20;A1.4;no;yes;no;no;no;no;no;no;0;0;0
74;12;0;A0.8;no;yes;no;no;no;no;no;no;0;0;0
75;34;0;A0.7;yes;no;no;no;no;no;no;no;0;0;0
75;0;0;A0.6;yes;yes;no;no;no;no;no;no;0;0;0
77;0;0;A0.6;no;no;no;no;no;no;no;no;0;0;0
74;0;0;A0.4;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A0.4;no;no;no;no;no;no;no;no;0;0;0
73;0;0;A0.5;no;no;no;no;no;no;no;no;0;0;0
74;12;20;A0.6;no;no;no;no;no;no;no;no;0;0;0
73;11;0;A0.5;no;yes;no;no;no;no;no;no;0;0;0
74;12;0;A0.6;yes;no;no;no;no;no;no;no;0;0;0
74;11;0;A0.7;no;yes;no;no;no;no;no;no;0;0;0
73;11;0;A0.8;yes;no;no;no;no;no;no;no;0;0;0
75;16;20;A0.9;yes;no;no;no;no;no;no;no;0;0;0
74;15;30;A1.2;no;yes;no;no;no;no;no;no;0;0;0
