,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
0,1997,1,1,1997.001,0,2.0,20,0
1,1997,1,2,1997.004,0,2.0,20,0
2,1997,1,3,1997.007,0,2.0,17,0
3,1997,1,4,1997.01,14,9.4,10,0
4,1997,1,5,1997.012,13,3.2,16,0
5,1997,1,6,1997.015,16,2.3,11,0
6,1997,1,7,1997.018,10,2.0,12,0
7,1997,1,8,1997.021,0,2.0,14,0
8,1997,1,9,1997.023,12,7.6,13,0
9,1997,1,10,1997.026,12,3.1,12,0
10,1997,1,11,1997.029,9,4.1,13,0
11,1997,1,12,1997.032,0,2.0,17,0
12,1997,1,13,1997.034,0,2.0,19,0
13,1997,1,14,1997.037,0,2.0,18,0
14,1997,1,15,1997.04,14,1.7,20,0
15,1997,1,16,1997.042,22,2.9,23,0
16,1997,1,17,1997.045,10,1.6,23,0
17,1997,1,18,1997.048,14,4.6,12,0
18,1997,1,19,1997.051,0,2.0,15,0
19,1997,1,20,1997.053,0,2.0,11,0
20,1997,1,21,1997.056,0,2.0,20,0
21,1997,1,22,1997.059,0,2.0,15,0
22,1997,1,23,1997.062,0,2.0,17,0
23,1997,1,24,1997.064,12,3.8,17,0
24,1997,1,25,1997.067,10,3.3,18,0
25,1997,1,26,1997.07,10,3.8,15,0
26,1997,1,27,1997.073,12,3.7,18,0
27,1997,1,28,1997.075,0,2.0,16,0
28,1997,1,29,1997.078,13,5.4,15,0
29,1997,1,30,1997.081,14,0.7,11,0
30,1997,1,31,1997.084,13,1.6,19,0
31,1997,2,1,1997.086,13,3.0,20,0
32,1997,2,2,1997.089,33,3.0,17,0
33,1997,2,3,1997.092,43,1.7,20,0
34,1997,2,4,1997.095,45,2.5,15,0
35,1997,2,5,1997.097,33,1.7,18,0
36,1997,2,6,1997.1,26,2.7,23,0
37,1997,2,7,1997.103,22,3.1,19,0
38,1997,2,8,1997.105,12,1.3,20,0
39,1997,2,9,1997.108,12,1.6,20,0
40,1997,2,10,1997.111,0,2.0,17,0
41,1997,2,11,1997.114,0,2.0,22,0
42,1997,2,12,1997.116,0,2.0,16,0
43,1997,2,13,1997.119,0,2.0,21,0
44,1997,2,14,1997.122,0,2.0,18,0
